"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05134","Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","22/1860","56/9399",0.392857142857143,1.98519585253456,3.67274464978851,0.000585845291066296,0.00759429081011865,0.00564147317323099,"836/841/1378/1379/2919/2920/2921/3576/10767/3297/3303/3304/3553/4671/4790/4791/29108/81876/5970/7097/7099/7100",22
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","35/1860","105/9399",0.333333333333333,1.68440860215054,3.50288674273076,0.00071440569755643,0.00893007121945537,0.00663376719159542,"207/808/64170/841/1147/338339/64581/1540/1960/3265/3553/3659/3708/3709/3725/4046/10892/6300/1432/5595/5599/9261/4773/4776/4790/4791/5296/5533/5743/5781/29108/5970/6237/6772/6850",35
"hsa05235","Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","31/1860","90/9399",0.344444444444444,1.74055555555556,3.506264742731,0.000758770358029633,0.00915348760731944,0.00679973365115159,"207/29126/940/915/1147/1460/27436/3091/3265/3458/3459/3717/3725/5605/6300/1432/5595/2475/4773/4790/4793/5296/5533/5588/5781/10125/5970/6772/7097/7099/7535",31
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","20/1860","50/9399",0.4,2.02129032258065,3.59640803899446,0.000784584652055952,0.00915348760731944,0.00679973365115159,"6347/1378/1379/3576/3039/3040/3043/3458/3553/3683/3820/22914/5175/6382/6401/7040/7043/7060/7097/7099",20
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","25/1860","68/9399",0.367647058823529,1.85780360531309,3.52610750988199,0.00081947454440774,0.00925213195299061,0.00687301230793588,"207/572/597/595/1147/1848/1978/2209/3265/3728/51176/5605/5595/2475/4790/5296/5292/11040/5371/5467/5914/5970/861/6655/83439",25
"hsa05168","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","53/1860","180/9399",0.294444444444444,1.48789426523297,3.28274674403289,0.00113468294299334,0.0124105946889896,0.00921929891182085,"207/10189/567/572/581/596/330/64170/836/841/6347/1147/1616/8890/1978/356/3054/3112/3113/3122/3123/3126/3134/64135/3455/3458/3459/3553/3654/51135/3661/3665/3717/6885/2475/4790/4940/5296/5371/5451/5781/5970/6732/6772/6850/10454/7097/8717/7186/7187/7188/7249/7297",53
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","24/1860","66/9399",0.363636363636364,1.8375366568915,3.39142704991602,0.00123481678603087,0.0130965416700244,0.00972885952630385,"2625/3112/3113/3122/3123/3126/3458/3459/8807/3553/50615/50616/3561/3725/4790/5970/6772/6775/30009/7040/7043/7097/7099/7100",24
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","53/1860","181/9399",0.292817679558011,1.47967385492782,3.23656477966257,0.00130240452370818,0.0134071053911136,0.00995956400482724,"207/537/527/572/581/596/808/64170/843/836/841/64581/1378/1379/1520/2209/2212/2214/3112/3113/3122/3123/3126/3458/3459/3587/3553/3654/51135/3687/3717/3929/4046/10892/6300/1432/5595/5599/9902/4790/5533/5970/8767/56848/6772/6850/7040/7043/7096/7097/7099/10333/8717",53
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","51/1860","173/9399",0.294797687861272,1.48967928398285,3.22883147913628,0.0013530026103678,0.013530026103678,0.0100508765341608,"207/581/100529063/836/841/6347/1019/1147/3627/3576/3337/5611/356/3112/3113/3122/3123/3126/11100/64135/3455/3458/3459/3553/51135/3661/3665/3717/3836/3838/5605/5595/4790/4793/4928/4940/8106/5296/5371/5579/5644/29108/9230/5970/293/6772/7099/8743/8717/7187/7297",51
"hsa04144","Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","69/1860","250/9399",0.276,1.39469032258065,3.14164413462997,0.00157097896023553,0.0152734065578454,0.0113459591572566,"23527/116983/10096/653857/116988/160/116984/377/10565/10564/50807/274/829/5119/27243/29082/92421/1212/3577/3579/7852/9266/26052/10938/30846/30845/29924/55040/28964/6011/157/2869/9146/3134/3265/3303/3304/3559/3560/3561/23096/93343/4734/84612/10015/8395/23396/5338/5371/5662/84249/9230/9727/26056/10193/6455/6456/56904/64744/6642/29934/27131/10254/7037/7048/51160/23325/9897/9765",69
"hsa05120","Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","25/1860","71/9399",0.352112676056338,1.77930486142662,3.2738562922345,0.00167146294455934,0.0158111359620478,0.0117454152860927,"6868/537/527/8992/523/526/836/1147/2919/2920/2921/3576/3577/3579/28964/1839/3725/4067/6416/6300/1432/5599/4790/5781/5970",25
